Hub	Target	MoA	likelihood
hub1	target220	-0.173021772876382	0.408099305117503
hub1	target347	-0.726169458124787	0.614337374689057
hub1	target235	0.339402771089226	0.639366721501574
hub1	target744	-0.595090654678643	0.0311345171649009
hub1	target338	-0.817695818375796	0.484285773709416
hub1	target30	-0.535491090267897	0.0483308336697519
hub1	target707	-0.663055523764342	0.130137285916135
hub1	target138	0.296850000042468	0.683232613839209
hub1	target288	-0.00776050472632051	0.930327872745693
hub1	target121	0.716425305698067	0.00217549782246351
hub1	target530	0.991411644499749	0.859166096197441
hub1	target997	-0.126371555961668	0.683521049795672
hub1	target915	0.340022452641279	0.24247390893288
hub1	target335	-0.121917126234621	0.759413585998118
hub1	target723	-0.328628126531839	0.204647609731182
hub1	target599	-0.537014689762145	0.117045585298911
hub1	target569	-0.105318701826036	0.812895973445848
hub1	target968	0.453207995276898	0.495278582442552
hub1	target515	-0.458917926996946	0.866794922621921
hub1	target328	0.379093250259757	0.369727338664234
hub1	target454	-0.156367206480354	0.72992251557298
hub1	target433	0.581023174338043	0.234156485879794
hub1	target658	-0.511877470184118	0.484545949148014
hub1	target87	0.0401322622783482	0.164589667925611
hub1	target450	-0.849258016329259	0.201278133317828
hub1	target142	-0.620351413730532	0.965278423624113
hub1	target76	0.992902104277164	0.47247030492872
hub1	target907	-0.793910908512771	0.0372023012023419
hub1	target737	0.407111693173647	0.90256204130128
hub1	target364	-0.0451560481451452	0.319320530863479
hub1	target830	0.0732666929252446	0.8170228775125
hub1	target877	-0.311164176091552	0.467082977760583
hub1	target108	0.655383101664484	0.451030489057302
hub1	target579	0.906970154028386	0.740197505569085
hub1	target15	-0.210374602116644	0.0453185981605202
hub1	target488	0.704464371316135	0.719970980891958
hub1	target768	0.372333997860551	0.924172827508301
hub1	target425	-0.759788763709366	0.773326694732532
hub1	target979	-0.0104323187842965	0.174019445199519
hub1	target558	-0.857155289500952	0.406251190695912
hub1	target828	-0.53370247874409	0.916325179394335
hub1	target168	0.480685621965677	0.495536595815793
hub1	target765	-0.316591724287719	0.88696417841129
hub1	target354	-0.399109683465213	0.789185337489471
hub1	target263	-0.100341325625777	0.636504028690979
hub1	target588	0.257837990298867	0.89394171605818
hub1	target708	0.358787407632917	0.711403993191198
hub1	target999	-0.408837688621134	0.215549953281879
hub1	target510	0.743660832755268	0.134586313273758
hub1	target901	-0.890175430569798	0.572417214047164
hub1	target798	0.65002434886992	0.4165033493191
hub1	target315	0.289291569031775	0.767058660974726
hub1	target481	-0.471430839970708	0.158730141585693
hub1	target86	-0.125752797350287	0.869095531757921
hub1	target616	0.870463436003774	0.953591957455501
hub1	target408	-0.241670668590814	0.996825607027858
hub1	target507	-0.688595711719245	0.286999739240855
hub1	target824	0.851514677051455	0.11242138245143
hub1	target892	0.702401092741638	0.172975470777601
hub1	target549	0.507822052109987	0.0986682323273271
hub1	target218	-0.904597846791148	0.974520634161308
hub1	target981	-0.762983264867216	0.614557306282222
hub1	target810	0.585624436382204	0.0532760540954769
hub1	target85	-0.760761663783342	0.0846246446017176
hub1	target259	0.87651735637337	0.516526499064639
hub1	target123	-0.319205461535603	0.947773007676005
hub1	target880	-0.146790750790387	0.117825734429061
hub1	target40	0.506344369146973	0.0548226498067379
hub1	target415	0.763535180129111	0.800803034799173
hub1	target988	0.485905969515443	0.722143847495317
hub1	target33	-0.666256064083427	0.0153360879048705
hub1	target535	-0.383475912734866	0.817867917008698
hub1	target313	0.62890922697261	0.634372799657285
hub1	target109	0.259823001921177	0.0584948728792369
hub1	target343	0.20339179597795	0.210230366094038
hub1	target918	-0.823217813391238	0.234312652843073
hub1	target954	-0.368228032719344	0.523326041875407
hub1	target248	-0.193843928631395	0.245736894430593
hub1	target451	0.80255504604429	0.868061228655279
hub1	target932	-0.278049539308995	0.993242033524439
hub1	target20	-0.169366049114615	0.317054839571938
hub1	target187	-0.0371902133338153	0.0383216151967645
hub1	target337	0.485476343892515	0.666644264245406
hub1	target617	0.267227871809155	0.474220988573506
hub1	target690	0.799147657584399	0.0032404400408268
hub1	target933	0.556984132621437	0.542416213545948
hub1	target362	0.213897281792015	0.53848285949789
hub1	target529	-0.817138667684048	0.881652472307906
hub1	target100	0.834763864986598	0.885392584139481
hub1	target93	0.118325429037213	0.0598254806827754
hub1	target770	0.730307364370674	0.287563843419775
hub1	target996	-0.745655279606581	0.0405730286147445
hub1	target185	0.905346454586834	0.398040868341923
hub1	target258	0.232254187576473	0.244038898730651
hub1	target913	-0.441772243008018	0.133096286794171
hub1	target565	-0.890693102963269	0.655043826671317
hub1	target642	-0.0423923716880381	0.632280750200152
hub1	target225	0.728979527018964	0.150882344692945
hub1	target936	-0.39242230495438	0.596705663017929
hub1	target866	0.907046570908278	0.48567115701735
hub2	target982	-0.158722842112184	0.812923435121775
hub2	target45	-0.264649002347142	0.331304698484018
hub2	target29	0.580159517936409	0.600347011815757
hub2	target801	0.646688711363822	0.245427623158321
hub2	target386	-0.608639626763761	0.241687214467674
hub2	target296	-0.395981325302273	0.714629241963848
hub2	target853	-0.141368062235415	0.998519364511594
hub2	target483	-0.00612589763477445	0.116874938132241
hub2	target502	-0.945732529275119	0.500302604166791
hub2	target579	-0.747797054238617	0.34721964946948
hub2	target359	0.126157165504992	0.682210029801354
hub2	target624	-0.754530163947493	0.485075601143762
hub2	target518	0.940325740724802	0.249760935548693
hub2	target763	-0.243056041654199	0.324936046963558
hub2	target42	0.634196681901813	0.486431845696643
hub2	target827	0.256698989309371	0.986288718646392
hub2	target358	-0.329554395750165	0.251650808611885
hub2	target380	-0.543539698235691	0.965584619669244
hub2	target862	-0.272514217998832	0.464034506352618
hub2	target952	-0.911646303255111	0.838299764553085
hub2	target496	0.531150856520981	0.368666586698964
hub2	target531	0.562087600119412	0.349901451962069
hub2	target180	0.169029070064425	0.525824677664787
hub2	target222	0.613491819240153	0.0473334253765643
hub2	target86	-0.527751674875617	0.0644226858858019
hub2	target719	0.577145842369646	0.961571458727121
hub2	target202	0.56430247053504	0.631635355530307
hub2	target708	-0.4821618469432	0.855175726814196
hub2	target786	0.696443994529545	0.913457755930722
hub2	target54	-0.677426563575864	0.170828054426238
hub2	target273	-0.537480296101421	0.297420554095879
hub2	target561	-0.0650330041535199	0.106565828435123
hub2	target196	-0.313049689400941	0.561477234354243
hub2	target473	-0.671897026244551	0.455378575017676
hub2	target267	0.791698785498738	0.253632814390585
hub2	target225	-0.112803096417338	0.10390336252749
hub2	target584	-0.076773997861892	0.726034557679668
hub2	target743	0.877935969736427	0.0193981872871518
hub2	target99	0.902963487897068	0.394630811642855
hub2	target499	-0.515392540022731	0.749525933526456
hub2	target814	0.628527209628373	0.172765214927495
hub2	target330	-0.0873647332191467	0.112104693893343
hub2	target781	-0.748724106233567	0.543050217209384
hub2	target17	0.313120591919869	0.623269550735131
hub2	target235	0.199872031807899	0.58270360622555
hub2	target577	0.341846980620176	0.291986454511061
hub2	target965	0.601472266484052	0.795792716788128
hub2	target135	-0.751617264002562	0.145613603526726
hub2	target179	0.768429747782648	0.853089876705781
hub2	target509	-0.921342682559043	0.326740899821743
hub2	target959	-0.919617288280278	0.192867473931983
hub2	target437	-0.904292388819158	0.502950149355456
hub2	target668	-0.0346998893655837	0.812257613986731
hub2	target950	-0.61841946747154	0.147065925644711
hub2	target92	0.729115675669163	0.452791168354452
hub2	target212	0.562115594744682	0.269020632142201
hub2	target161	-0.912239324767143	0.916942440671846
hub2	target34	-0.888980184216052	0.0893175252713263
hub2	target898	-0.367391228210181	0.6023663894739
hub2	target650	-0.464122083969414	0.0781821904238313
hub2	target791	0.803964607883245	0.360121025936678
hub2	target433	0.116681749001145	0.721065636724234
hub2	target186	-0.508038978558034	0.0718740306328982
hub2	target169	0.894517887383699	0.157993627712131
hub2	target245	-0.365199402440339	0.567851066822186
hub2	target549	-0.669712881091982	0.490373240783811
hub2	target250	0.944876828696579	0.698294966248795
